******************************************* HomeWork : 5 *******************************************
*                                     Version 0.4 (CUDA Programming)                               *
*                              EE 5321 CAE Simulation on HPC Systems                               *
*                        Contact: (Vittal) v_s191@txstate.edu  (A04848680)                         *
*                                      Texas State University                                      *
****************************************************************************************************

  HostRand,AvgHostRand,   MemcpH2C,AvgMemcpH2C,  MMPlyCuda,AvgMMPlyCuda,MinMMPlyCuda,  MemcpC2H,AvgMemcpC2H
  0.181105,    0.18136,   0.003503,  0.0035435,      2e-06,   3.05e-06,      2e-06,   0.016173,  0.0162905, 
  0.181054,   0.181353,   0.003508, 0.00354263,      3e-06, 3.04878e-06,      2e-06,   0.016159,  0.0162873, 
  0.180951,   0.181343,   0.003487, 0.00354131,      3e-06, 3.04762e-06,      2e-06,   0.016175,  0.0162846, 
  0.180966,   0.181334,   0.003489, 0.00354009,      3e-06, 3.04651e-06,      2e-06,   0.016157,  0.0162816, 
  0.181508,   0.181338,   0.004207, 0.00355525,      5e-06, 3.09091e-06,      2e-06,   0.016445,  0.0162853, 
  0.181015,   0.181331,   0.003483, 0.00355364,      3e-06, 3.08889e-06,      2e-06,    0.01621,  0.0162837, 
   0.18109,   0.181326,   0.003503, 0.00355254,      2e-06, 3.06522e-06,      2e-06,    0.01617,  0.0162812, 
  0.181028,   0.181319,   0.003508,  0.0035516,      3e-06, 3.06383e-06,      2e-06,    0.01616,  0.0162786, 
  0.180846,    0.18131,    0.00349, 0.00355031,      3e-06, 3.0625e-06,      2e-06,   0.016163,  0.0162762, 
  0.180796,   0.181299,    0.00348, 0.00354888,      3e-06, 3.06122e-06,      2e-06,   0.016188,  0.0162744, 
  0.180898,   0.181291,   0.003505,   0.003548,      3e-06,   3.06e-06,      2e-06,    0.01615,  0.0162719, 
Program Execution Completed 
